date_sequence,date,crossings
1,2009-01,6881
1,2009-02,6730
1,2009-03,9294
1,2009-04,10182
1,2009-05,10758
1,2009-06,8907
1,2009-07,9242
1,2009-08,9232
1,2009-09,11308
1,2009-10,11168
1,2009-11,6367
1,2009-12,4434
1,2010-01,4449
1,2010-02,3990
1,2010-03,6401
1,2010-04,8895
1,2010-05,9141
1,2010-06,8819
1,2010-07,9075
1,2010-08,11826
1,2010-09,13877
1,2010-10,13686
1,2010-11,8189
1,2010-12,5643
1,2011-01,3936
1,2011-02,8691
1,2011-03,20276
1,2011-04,14360
1,2011-05,15968
1,2011-06,10926
1,2011-07,11185
1,2011-08,16271
1,2011-09,11063
1,2011-10,13241
1,2011-11,8688
1,2011-12,6384
1,2012-01,4787
1,2012-02,3409
1,2012-03,5422
1,2012-04,5801
1,2012-05,8429
1,2012-06,8853
1,2012-07,10327
1,2012-08,7069
1,2012-09,4694
1,2012-10,5336
1,2012-11,4927
1,2012-12,3328
1,2013-01,2249
1,2013-02,2677
1,2013-03,4775
1,2013-04,6633
1,2013-05,7491
1,2013-06,10676
1,2013-07,13235
1,2013-08,12819
1,2013-09,16735
1,2013-10,16592
1,2013-11,7130
1,2013-12,6327
1,2014-01,5760
1,2014-02,6521
1,2014-03,9545
1,2014-04,19587
1,2014-05,19828
1,2014-06,29369
1,2014-07,32541
1,2014-08,38261
1,2014-09,41571
1,2014-10,31422
1,2014-11,24781
1,2014-12,23687
1,2015-01,19910
1,2015-02,23193
1,2015-03,17380
1,2015-04,39115
1,2015-05,54000
1,2015-06,74877
1,2015-07,117473
1,2015-08,189266
1,2015-09,308723
1,2015-10,433620
1,2015-11,324333
1,2015-12,220212
1,2016-01,142038
1,2016-02,99318
1,2016-03,43169
1,2016-04,18610
1,2016-05,26928
1,2016-06,29752
1,2016-07,28990
1,2016-08,29385
1,2016-09,24477
1,2016-10,35939
1,2016-11,18913
1,2016-12,13528
1,2017-01,9255
1,2017-02,13722
1,2017-03,15898
1,2017-04,16964
1,2017-05,27871
1,2017-06,30198
1,2017-07,18574
1,2017-08,13532
1,2017-09,17299
1,2017-10,16963
1,2017-11,15928
1,2017-12,8450
1,2018-01,9005
1,2018-02,4680
1,2018-03,6750
1,2018-04,12693
1,2018-05,13580
1,2018-06,15065
1,2018-07,16180
1,2018-08,14659
1,2018-09,16393
1,2018-10,19009
1,2018-11,10704
1,2018-12,10318
1,2019-01,8365
1,2019-02,4928
1,2019-03,6200
1,2019-04,6361
1,2019-05,7848
1,2019-06,10092
1,2019-07,11893
1,2019-08,15076
1,2019-09,20269
1,2019-10,19272
1,2019-11,16664
1,2019-12,14773
1,2020-01,10716
1,2020-02,9160
1,2020-03,5998
1,2020-04,1470
1,2020-05,5807
1,2020-06,6595
1,2020-07,13031
1,2020-08,11565
1,2020-09,13434
1,2020-10,17513
1,2020-11,20335
1,2020-12,10686
1,2021-01,7263
1,2021-02,9497
1,2021-03,9434
1,2021-04,8486
1,2021-05,13661
1,2021-06,14303
1,2021-07,20711
1,2021-08,24519
1,2021-09,26942
1,2021-10,25645
1,2021-11,24219
1,2021-12,17439
1,2022-01,14747
1,2022-02,13222
1,2022-03,14871
1,2022-04,18652
1,2022-05,26850
1,2022-06,28024
1,2022-07,34861
1,2022-08,40774
1,2022-09,41747
1,2022-10,42003
1,2022-11,26884
1,2022-12,23582
1,2023-01,14366
1,2023-02,17288
1,2023-03,24010
1,2023-04,26834
1,2023-05,21202
1,2023-06,30446
1,2023-07,42381
1,2023-08,54351
1,2023-09,54628
1,2023-10,53322
1,2023-11,22444
1,2023-12,19985
1,2024-01,17123
1,2024-02,16226
1,2024-03,15549
1,2024-04,15033
1,2024-05,16139
1,2024-06,15301
1,2024-07,21182
1,2024-08,26292
1,2024-09,27797
1,2024-10,23802
1,2024-11,29324
1,2024-12,16333
1,2025-01,14056
1,2025-02,11027
1,2025-03,10019
1,2025-04,12745
1,2025-05,14357
1,2025-06,16682
1,2025-07,18697
1,2025-08,17066
1,2025-09,19855
1,2025-10,19279
1,2025-11,13735
1,2025-12,12621
1,2026-01,6699
1,2026-02,7170
1,2026-03,7491
1,2026-04,7641
